"id","league_id","home_goals","away_goals","winner","home_gk","home_def","home_mid","home_atk","home_def_count","home_mid_count","home_atk_count","away_gk","away_def","away_mid","away_atk","away_def_count","away_mid_count","away_atk_count"
9843,7809,2,0,"home","very good","very good","very good","very good",3,4,3,"very good","good","good","very good",4,5,1
9844,7809,3,1,"home","very good","very good","very good","very good",4,5,1,"good","bad","bad","good",4,4,2
9845,7809,3,3,"draw","very good","good","good","very good",4,5,1,"bad","good","good","very bad",4,4,2
9846,7809,4,1,"home","very good","very good","good","very good",4,4,2,"good","good","very good","good",4,5,1
9847,7809,1,1,"draw","very good","bad","very good","very good",4,3,3,"very good","very good","very good","very good",4,5,1
9848,7809,2,0,"home","very good","bad","good","bad",4,4,2,"good","good","good","very good",4,5,1
9849,7809,1,3,"away","good","good","good","good",4,3,3,"bad","bad","good","good",4,5,1
9850,7809,0,1,"away","very good","good","good","good",4,5,1,"bad","good","good","bad",4,5,1
9851,7809,0,0,"draw","very bad","bad","very bad","very bad",4,5,1,"bad","bad","bad","bad",4,5,1
9897,7809,2,2,"draw","good","good","very good","very good",4,5,1,"very good","good","good","good",4,5,1
9898,7809,4,1,"home","very good","very good","very good","good",4,5,1,"very good","good","good","very good",4,5,1
9899,7809,2,0,"home","bad","bad","good","very good",4,5,1,"very good","very good","very good","very good",4,5,1
9900,7809,4,2,"home","bad","good","good","bad",4,5,1,"bad","good","good","bad",4,4,2
9901,7809,2,2,"draw","good","bad","good","very bad",4,4,2,"good","good","good","good",4,5,1
9902,7809,0,2,"away","very good","good","good","bad",4,5,1,"very good","good","good","very good",4,5,1
9903,7809,0,0,"draw","good","good","good","very good",4,5,1,"very good","very good","good","very good",3,4,3
9904,7809,0,0,"draw","bad","bad","bad","bad",4,5,1,"very good","good","very good","very good",4,4,2
9905,7809,2,0,"home","very bad","very bad","bad","bad",4,4,2,"very good","good","good","bad",4,4,2
9906,7809,4,0,"home","very good","very good","very good","very good",4,5,1,"very bad","very bad","bad","bad",4,5,1
9907,7809,2,2,"draw","very good","very good","very good","very good",4,5,1,"very good","good","good","bad",4,5,1
9908,7809,1,0,"home","very good","very good","very good","very good",4,5,1,"bad","good","good","bad",4,5,1
9909,7809,1,0,"home","very good","very good","very good","very good",4,4,2,"good","good","good","very good",4,5,1
9910,7809,3,3,"draw","very good","good","very good","good",4,5,1,"good","bad","good","bad",4,4,2
9911,7809,1,0,"home","very good","bad","good","good",4,4,2,"bad","bad","good","bad",4,5,1
9912,7809,1,0,"home","good","good","good","very good",4,5,1,"very good","very good","very good","good",4,5,1
9913,7809,0,3,"away","bad","bad","good","bad",4,4,2,"good","good","very good","very good",4,5,1
9914,7809,2,2,"draw","very good","good","good","good",4,4,2,"bad","bad","good","very good",4,5,1
9915,7809,2,1,"home","good","very good","very good","very good",4,5,1,"very good","very good","very good","very good",4,4,2
9916,7809,2,1,"home","very good","very good","very good","very good",4,5,1,"bad","bad","good","good",4,4,2
9917,7809,0,0,"draw","bad","bad","good","good",4,3,3,"very good","good","very good","very good",4,5,1
9918,7809,1,0,"home","bad","good","good","bad",4,5,1,"good","good","good","very good",4,5,1
9919,7809,0,0,"draw","good","bad","bad","very bad",4,4,2,"very good","bad","very good","very good",4,5,1
9920,7809,1,0,"home","very bad","good","good","bad",4,5,1,"very good","bad","good","good",4,5,1
9921,7809,1,2,"away","good","good","good","very good",4,5,1,"bad","good","good","good",4,5,1
9922,7809,0,2,"away","bad","bad","bad","bad",4,5,1,"very good","very good","very good","very good",3,5,2
9923,7809,1,2,"away","very bad","bad","bad","very bad",4,4,2,"very good","very good","very good","good",4,4,2
9924,7809,4,0,"home","very good","very good","very good","very good",4,5,1,"very good","bad","good","bad",4,4,2
9925,7809,0,1,"away","very good","very good","very good","very good",4,5,1,"good","good","very good","very good",4,5,1
9926,7809,2,2,"draw","very good","bad","very good","very good",4,5,1,"very bad","bad","bad","bad",4,5,1
9927,7809,1,0,"home","very good","very good","very good","good",4,5,1,"bad","good","good","bad",4,5,1
9928,7809,1,1,"draw","very good","good","very good","very good",4,4,2,"bad","bad","good","very good",5,4,1
9929,7809,2,1,"home","very good","good","very good","good",4,5,1,"good","very good","very good","very good",4,5,1
9930,7809,3,2,"home","good","good","good","very good",4,5,1,"very bad","good","good","very good",4,5,1
9931,7809,1,1,"draw","bad","bad","good","good",4,4,2,"good","bad","very good","bad",4,4,2
9932,7809,3,2,"home","bad","good","good","good",4,3,3,"good","bad","good","bad",4,5,1
9933,7809,6,0,"home","very good","very good","very good","very good",4,5,1,"bad","good","good","good",4,4,2
9934,7809,2,0,"home","very good","good","very good","very good",4,5,1,"good","good","good","very good",4,5,1
